Model,Manufacturer,Pollution_CO2_g_per_pax_km,Passenger_Capacity,Units_Manufactured,Manufacturing_Country,Country_of_Origin,Year_First_Made,Range_km,Wingspan_m,Engine_Count,Engine_Type,Max_Speed_kph,Length_m,Height_m
A945,Airbus,342.11,802,752,France,France,1982,2142,69.71,2,Turboprop,974,62.96,17.96
EM711,Embraer,455.49,521,77,Brazil,Brazil,1969,2708,31.42,4,Turbojet,818,30.75,12.4
B407,Boeing,92.65,737,1620,USA,USA,1976,4354,77.11,4,Turbojet,836,65.67,11.6
BD277,Bombardier,267.07,184,1602,Canada,Canada,1968,3337,33.92,2,Turboprop,844,64.33,16.35
B234,Boeing,307.76,824,1780,USA,USA,1966,11968,77.55,2,Turbofan,868,34.29,13.63
BD437,Bombardier,147.16,661,1299,Canada,Canada,1951,5134,26.86,2,Turboprop,920,54.87,11.13
B808,Boeing,270.13,108,240,USA,USA,1982,10741,24.62,2,Turboprop,872,60.81,10.19
TU658,Tupolev,362.89,54,1536,Russia,Russia,2008,2328,70.36,4,Turbofan,960,47.8,12.56
BD906,Bombardier,142.76,436,1440,Canada,Canada,2002,9172,76.56,4,Turbofan,985,62.52,14.78
MJ107,Mitsubishi,326.27,122,1615,Japan,Japan,1990,2222,59.47,4,Turbojet,854,41.18,17.79
B224,Boeing,98.78,508,21,USA,USA,2016,5192,41.96,2,Turbofan,934,55.8,16.22
TU962,Tupolev,309.73,831,817,Russia,Russia,1969,14992,59.38,4,Turbojet,821,53.72,17.58
A671,Airbus,322.67,764,674,France,France,1971,11225,64.3,2,Turbojet,888,56.1,8.57
BD801,Bombardier,126.2,682,1359,Canada,Canada,1982,1680,22.01,2,Turbojet,810,59.51,22.63
BD555,Bombardier,88.84,653,774,Canada,Canada,1960,7298,55.39,2,Turbofan,862,44.45,8.02
TU788,Tupolev,267.78,299,1407,Russia,Russia,2019,4987,73.63,2,Turboprop,821,58.71,16.74
B514,Boeing,129.13,536,933,USA,USA,1965,8545,44.8,4,Turbojet,960,29.85,12.61
TU196,Tupolev,333.07,120,1769,Russia,Russia,1973,12509,67.8,4,Turbojet,897,63.88,7.48
C866,Comac,499.87,181,1715,China,China,1977,14294,42.21,2,Turbofan,990,74.88,18.94
A467,Airbus,251.14,681,1462,France,France,1995,4865,66.77,4,Turbojet,913,60.46,22.12
BD183,Bombardier,342.08,644,118,Canada,Canada,1962,9743,69.34,2,Turbofan,985,74.3,21.38
MJ977,Mitsubishi,474.32,847,321,Japan,Japan,2018,12864,33.76,4,Turbofan,814,50.44,23.35
TU747,Tupolev,213.4,72,374,Russia,Russia,1997,12993,36.39,2,Turboprop,862,45.09,18.92
BD600,Bombardier,110.94,786,122,Canada,Canada,1951,6927,75.46,4,Turboprop,950,57.65,7.3
B847,Boeing,478.6,369,222,USA,USA,1964,11783,72.87,4,Turboprop,990,64.12,14.96
TU149,Tupolev,243.33,481,471,Russia,Russia,1984,10821,33.94,4,Turboprop,884,54.46,22.37
C447,Comac,344.46,533,232,China,China,1975,12781,54.33,4,Turbojet,948,34.62,19.11
MJ687,Mitsubishi,112.34,170,1736,Japan,Japan,2020,14237,25.07,2,Turboprop,823,68.85,15.48
A466,Airbus,129.48,462,998,France,France,1988,9253,20.25,2,Turboprop,928,45.41,10.91
EM376,Embraer,296.62,763,507,Brazil,Brazil,2016,2547,29.26,4,Turboprop,921,25.85,17.57
B697,Boeing,199.68,506,476,USA,USA,2020,6802,69.3,4,Turbofan,804,66.0,13.55
BD610,Bombardier,159.72,819,605,Canada,Canada,2018,8695,65.71,4,Turboprop,859,27.7,10.25
EM423,Embraer,77.37,644,928,Brazil,Brazil,2003,13307,68.88,4,Turboprop,870,49.93,7.96
EM796,Embraer,150.86,713,1012,Brazil,Brazil,2020,5163,77.52,2,Turbofan,904,58.7,23.18
A847,Airbus,445.37,530,1375,France,France,1969,6106,54.27,2,Turboprop,808,73.32,12.93
A212,Airbus,84.94,737,1752,France,France,1984,11452,65.55,4,Turbofan,860,54.72,7.15
BD738,Bombardier,182.78,113,22,Canada,Canada,2001,14543,34.56,4,Turbofan,902,44.34,14.81
A627,Airbus,213.28,190,1041,France,France,1958,9139,22.2,2,Turbofan,916,74.84,21.17
MJ657,Mitsubishi,417.32,504,1977,Japan,Japan,1967,2045,78.57,2,Turboprop,978,48.76,12.99
A563,Airbus,434.22,375,1590,France,France,1965,12944,52.65,4,Turbofan,996,35.14,21.14
TU755,Tupolev,269.64,347,1206,Russia,Russia,1982,2466,55.15,4,Turbofan,880,29.02,7.16
EM450,Embraer,457.34,397,85,Brazil,Brazil,2004,10220,50.11,2,Turbofan,977,71.27,19.19
C822,Comac,411.45,52,1418,China,China,2002,4481,76.75,2,Turbofan,909,50.82,20.34
BD761,Bombardier,439.41,804,851,Canada,Canada,1967,2640,37.84,2,Turbofan,854,50.51,17.57
A540,Airbus,242.67,347,1428,France,France,2011,12504,63.61,4,Turbojet,971,30.55,22.38
EM847,Embraer,464.24,574,166,Brazil,Brazil,1984,7621,31.42,4,Turbojet,940,55.09,20.6
EM455,Embraer,394.57,53,1125,Brazil,Brazil,1993,2050,50.17,4,Turboprop,935,43.71,16.53
TU406,Tupolev,50.06,129,582,Russia,Russia,1964,9798,24.36,4,Turboprop,974,47.6,22.63
A200,Airbus,260.23,417,619,France,France,1996,13889,57.13,2,Turbofan,806,60.46,6.93
BD586,Bombardier,413.31,813,580,Canada,Canada,1998,2587,65.61,4,Turbojet,916,38.75,12.23
C266,Comac,61.64,196,607,China,China,1972,4515,30.52,4,Turboprop,907,66.69,14.27
A341,Airbus,172.65,259,777,France,France,1982,3682,55.54,2,Turbojet,903,56.42,18.83
C282,Comac,483.83,398,1217,China,China,2004,4255,53.65,4,Turbofan,837,54.36,15.53
MJ673,Mitsubishi,280.8,305,872,Japan,Japan,2017,6045,41.63,2,Turboprop,881,45.76,6.85
TU683,Tupolev,364.95,188,1096,Russia,Russia,1961,9412,61.65,2,Turbojet,975,71.89,9.95
C319,Comac,140.21,217,1957,China,China,2016,7835,47.19,2,Turbojet,802,51.7,18.35
BD623,Bombardier,494.73,417,576,Canada,Canada,1978,1716,29.88,2,Turbofan,894,37.7,21.89
C327,Comac,472.54,735,113,China,China,1958,5077,50.81,2,Turbofan,832,52.34,22.49
TU560,Tupolev,483.0,489,72,Russia,Russia,1973,2209,35.35,4,Turboprop,819,27.53,8.21
B683,Boeing,55.45,137,1562,USA,USA,1982,8193,43.8,2,Turboprop,821,40.62,20.47
TU603,Tupolev,310.26,554,1526,Russia,Russia,1950,13622,24.73,2,Turbojet,887,26.11,23.86
A447,Airbus,384.52,791,1869,France,France,1988,11554,27.04,4,Turbofan,859,35.9,18.27
BD809,Bombardier,197.73,710,1413,Canada,Canada,1990,5159,24.96,2,Turbojet,862,27.71,8.78
MJ678,Mitsubishi,302.73,189,784,Japan,Japan,1962,6886,36.95,2,Turboprop,980,46.16,8.94
MJ894,Mitsubishi,372.83,772,691,Japan,Japan,2003,1881,52.61,4,Turbofan,831,27.28,10.12
MJ364,Mitsubishi,478.34,689,1728,Japan,Japan,2009,7885,43.47,4,Turboprop,987,63.34,13.25
EM678,Embraer,210.15,747,1595,Brazil,Brazil,2016,13799,46.26,4,Turboprop,980,63.95,21.41
EM585,Embraer,295.92,70,1380,Brazil,Brazil,2006,3130,56.38,4,Turbofan,975,45.2,21.06
A773,Airbus,450.43,560,1415,France,France,1992,11815,60.71,4,Turbofan,813,39.56,17.48
MJ562,Mitsubishi,421.5,641,1566,Japan,Japan,1954,2141,67.01,2,Turboprop,909,62.06,19.6
EM728,Embraer,409.93,756,148,Brazil,Brazil,2013,12875,38.85,4,Turbojet,845,65.22,14.32
MJ583,Mitsubishi,198.34,83,421,Japan,Japan,1968,4020,69.22,2,Turbojet,917,62.39,18.13
B168,Boeing,242.47,699,509,USA,USA,1968,12106,26.85,4,Turbojet,848,30.43,10.09
EM597,Embraer,162.63,302,1647,Brazil,Brazil,1997,5967,70.6,2,Turboprop,849,39.04,6.48
EM386,Embraer,141.47,130,934,Brazil,Brazil,2002,8964,68.11,4,Turbojet,904,44.57,13.58
B583,Boeing,162.22,575,1561,USA,USA,2011,10142,43.34,2,Turboprop,819,60.55,12.96
EM911,Embraer,444.94,539,888,Brazil,Brazil,1964,13268,28.21,2,Turbofan,867,27.3,18.18
MJ820,Mitsubishi,55.74,643,1463,Japan,Japan,1983,10052,50.14,2,Turbofan,820,30.88,7.89
BD406,Bombardier,75.49,688,1228,Canada,Canada,1986,7673,69.32,2,Turboprop,897,63.7,15.49
EM715,Embraer,239.2,370,29,Brazil,Brazil,2001,12441,65.56,2,Turbojet,800,61.46,17.32
MJ757,Mitsubishi,337.01,817,1312,Japan,Japan,1974,7586,24.92,4,Turbojet,998,55.82,13.29
B555,Boeing,198.24,294,1955,USA,USA,1955,14853,41.23,4,Turbojet,994,36.31,8.58
B873,Boeing,400.33,438,368,USA,USA,2014,1731,61.41,4,Turbofan,816,54.31,6.26
B176,Boeing,414.83,735,1120,USA,USA,1959,11161,75.78,4,Turboprop,833,70.26,18.85
A537,Airbus,223.32,319,1601,France,France,1996,1694,32.37,4,Turboprop,830,60.23,14.41
BD509,Bombardier,480.85,509,662,Canada,Canada,2006,9241,65.07,2,Turbojet,811,49.5,10.72
TU784,Tupolev,440.32,157,749,Russia,Russia,1959,11798,61.96,4,Turboprop,904,69.91,13.92
B852,Boeing,232.33,312,133,USA,USA,1968,11698,67.36,2,Turboprop,840,54.41,21.15
B591,Boeing,329.42,388,1919,USA,USA,2000,9157,53.37,2,Turboprop,829,30.09,23.65
MJ385,Mitsubishi,413.6,641,1751,Japan,Japan,1984,5902,39.85,2,Turbojet,861,29.51,7.88
TU611,Tupolev,156.79,364,1132,Russia,Russia,1956,10569,73.27,4,Turbojet,836,64.36,21.61
BD369,Bombardier,386.6,166,1396,Canada,Canada,1956,12648,47.64,4,Turbofan,897,38.8,16.17
A607,Airbus,153.14,133,321,France,France,1985,1984,75.27,2,Turbofan,883,63.79,7.73
EM984,Embraer,365.42,301,1795,Brazil,Brazil,1977,2470,57.55,4,Turbofan,970,62.02,15.52
MJ657,Mitsubishi,63.12,236,873,Japan,Japan,1967,9778,65.72,2,Turbofan,943,55.71,21.16
B463,Boeing,184.49,132,802,USA,USA,2016,4228,72.95,4,Turbofan,863,43.65,10.96
A964,Airbus,85.14,66,655,France,France,2004,2725,75.2,4,Turboprop,882,69.99,14.21
TU952,Tupolev,255.18,153,1402,Russia,Russia,1990,14086,50.09,2,Turbofan,923,25.68,7.52
TU354,Tupolev,92.18,549,1964,Russia,Russia,1984,7834,65.63,4,Turbofan,911,72.23,18.88
C371,Comac,417.37,292,555,China,China,2020,10650,38.65,4,Turbofan,850,38.63,20.88
B879,Boeing,352.63,443,1251,USA,USA,1972,4773,77.96,2,Turboprop,898,65.97,9.31
EM667,Embraer,261.29,749,249,Brazil,Brazil,1967,7605,31.72,4,Turbofan,998,55.77,23.7
MJ830,Mitsubishi,460.82,150,672,Japan,Japan,1961,13195,73.06,2,Turbojet,887,26.2,21.71
B986,Boeing,453.21,397,1794,USA,USA,1951,2859,56.12,4,Turbojet,854,32.66,20.62
MJ636,Mitsubishi,87.22,138,1154,Japan,Japan,2000,12453,79.85,2,Turbojet,926,60.35,11.4
EM422,Embraer,104.4,847,1214,Brazil,Brazil,2001,5142,43.06,4,Turboprop,819,43.94,23.3
A104,Airbus,321.68,78,879,France,France,1991,7411,60.9,2,Turbofan,930,27.22,14.61
B987,Boeing,260.39,357,610,USA,USA,1971,12715,28.96,2,Turbofan,830,51.32,11.86
BD350,Bombardier,58.28,605,1378,Canada,Canada,2004,4469,49.48,4,Turbojet,891,39.43,14.25
TU716,Tupolev,293.43,499,684,Russia,Russia,2018,4387,36.75,2,Turbojet,852,36.87,11.31
TU493,Tupolev,56.4,318,1445,Russia,Russia,1957,11804,67.14,2,Turbojet,871,50.67,6.72
C952,Comac,112.64,558,1897,China,China,1954,4755,45.67,4,Turbofan,999,41.0,21.8
TU287,Tupolev,206.69,702,1375,Russia,Russia,2001,12852,48.94,2,Turbojet,883,27.67,23.78
B920,Boeing,120.19,185,685,USA,USA,1953,9003,52.58,2,Turbofan,949,63.74,10.19
C120,Comac,323.88,599,1822,China,China,2020,13651,38.37,2,Turbofan,802,74.05,18.39
EM176,Embraer,129.59,841,1982,Brazil,Brazil,1968,5050,57.48,2,Turbojet,929,27.05,18.78
B346,Boeing,380.51,90,1981,USA,USA,1988,5368,49.4,4,Turboprop,958,41.78,13.15
MJ419,Mitsubishi,220.94,597,643,Japan,Japan,1991,4337,38.0,4,Turboprop,953,32.53,13.47
EM868,Embraer,418.05,419,363,Brazil,Brazil,1991,7855,21.64,4,Turboprop,914,26.69,13.59
EM415,Embraer,480.89,552,1428,Brazil,Brazil,1987,11105,30.5,2,Turbojet,840,70.79,19.19
BD170,Bombardier,282.36,60,1087,Canada,Canada,1984,5662,55.5,4,Turbojet,929,50.91,11.23
A118,Airbus,144.3,508,370,France,France,1956,3681,42.14,2,Turboprop,829,30.45,16.65
BD621,Bombardier,372.71,246,328,Canada,Canada,1981,1683,63.81,2,Turbofan,813,56.55,7.15
B837,Boeing,380.79,126,459,USA,USA,1965,13866,68.33,4,Turbojet,888,27.0,19.13
C298,Comac,93.57,791,1715,China,China,1992,7024,23.94,4,Turboprop,946,51.28,21.52
MJ759,Mitsubishi,427.54,122,1371,Japan,Japan,1987,1752,52.15,2,Turboprop,981,71.39,10.54
BD454,Bombardier,352.88,769,834,Canada,Canada,1967,11368,39.58,2,Turboprop,929,60.87,16.51
BD597,Bombardier,79.74,751,1955,Canada,Canada,1965,9904,31.84,2,Turbojet,924,26.35,17.21
BD956,Bombardier,433.36,94,183,Canada,Canada,1969,4235,60.98,4,Turboprop,866,46.79,10.62
B478,Boeing,391.12,659,58,USA,USA,2005,5410,79.94,4,Turbofan,957,39.25,6.14
A433,Airbus,312.35,640,964,France,France,1985,8027,38.0,4,Turboprop,896,34.5,14.01
EM676,Embraer,62.86,281,1553,Brazil,Brazil,1970,13897,29.53,4,Turboprop,810,41.43,19.98
B336,Boeing,229.23,91,1396,USA,USA,2013,11404,48.83,4,Turboprop,925,51.38,10.41
C643,Comac,454.62,320,1742,China,China,2000,8218,35.88,4,Turbojet,871,40.57,19.03
EM780,Embraer,405.59,302,1882,Brazil,Brazil,2014,12376,79.21,2,Turboprop,923,41.44,18.51
B625,Boeing,304.36,793,1906,USA,USA,1981,9660,60.59,4,Turbojet,852,31.53,14.39
BD630,Bombardier,136.98,600,250,Canada,Canada,1996,2396,44.58,4,Turboprop,829,47.88,14.04
C662,Comac,124.92,272,330,China,China,1982,10909,60.75,2,Turbojet,859,44.47,15.89
B969,Boeing,429.43,603,1085,USA,USA,1951,12481,66.77,2,Turbojet,876,52.8,20.18
MJ146,Mitsubishi,444.02,485,1930,Japan,Japan,1972,6524,40.47,4,Turbofan,920,63.19,6.26
EM913,Embraer,339.2,760,1271,Brazil,Brazil,1996,13645,39.75,2,Turbojet,898,72.44,11.35
BD190,Bombardier,483.78,757,1405,Canada,Canada,1974,8077,52.17,2,Turbojet,828,72.75,11.58
A645,Airbus,302.81,463,1493,France,France,1991,8787,24.88,4,Turboprop,929,40.39,10.31
EM349,Embraer,393.78,300,49,Brazil,Brazil,2002,11189,61.97,2,Turbojet,800,42.17,7.97
MJ637,Mitsubishi,471.84,87,34,Japan,Japan,1972,4552,47.75,4,Turbojet,987,31.37,15.04
C233,Comac,250.95,848,1914,China,China,1954,5659,43.98,2,Turbofan,866,33.54,14.84
TU562,Tupolev,81.57,334,1072,Russia,Russia,2017,14260,69.6,4,Turboprop,895,50.83,12.41
C124,Comac,240.51,81,246,China,China,1969,7558,56.96,2,Turbojet,911,31.46,17.62
EM330,Embraer,140.44,320,1271,Brazil,Brazil,1973,2703,79.85,2,Turbofan,931,35.7,7.25
TU916,Tupolev,380.09,451,243,Russia,Russia,1951,14908,45.19,2,Turbojet,824,65.11,13.68
A828,Airbus,171.29,418,746,France,France,1980,4511,45.52,2,Turboprop,877,29.84,10.36
EM278,Embraer,127.03,312,334,Brazil,Brazil,1977,6232,59.59,2,Turboprop,879,45.9,12.55
C970,Comac,307.08,587,1083,China,China,1978,10365,38.37,4,Turbofan,949,25.24,9.45
MJ384,Mitsubishi,117.54,243,1433,Japan,Japan,1990,4446,41.75,4,Turbofan,984,38.51,22.79
TU686,Tupolev,352.58,415,137,Russia,Russia,1987,8839,65.68,4,Turbojet,945,38.16,6.06
A354,Airbus,368.85,78,1920,France,France,1957,5481,79.81,4,Turbojet,919,41.59,9.67
MJ168,Mitsubishi,326.85,404,1599,Japan,Japan,1997,7844,60.51,4,Turbojet,895,54.87,6.7
B748,Boeing,458.28,75,372,USA,USA,1983,14729,24.39,2,Turboprop,841,68.29,11.5
EM843,Embraer,127.94,680,63,Brazil,Brazil,2004,6707,32.94,4,Turbojet,834,71.16,7.27
BD661,Bombardier,180.55,302,1894,Canada,Canada,2000,12807,75.92,2,Turbojet,815,50.88,22.37
B394,Boeing,324.69,108,399,USA,USA,1957,2839,65.63,4,Turboprop,892,29.25,14.41
BD640,Bombardier,254.19,534,167,Canada,Canada,1988,11190,26.5,2,Turbojet,981,54.72,8.51
MJ404,Mitsubishi,351.2,780,1542,Japan,Japan,1956,2653,25.65,4,Turboprop,981,49.25,8.57
C548,Comac,119.69,816,96,China,China,1989,4813,62.51,4,Turbojet,927,66.17,16.43
BD567,Bombardier,295.96,143,567,Canada,Canada,2001,8585,63.47,2,Turbojet,806,32.44,6.64
B529,Boeing,59.66,609,331,USA,USA,1975,10383,57.08,4,Turboprop,853,50.43,14.95
B604,Boeing,237.93,234,684,USA,USA,2010,14694,60.99,2,Turbojet,834,63.35,15.87
B174,Boeing,370.39,708,1539,USA,USA,1992,10613,51.36,2,Turboprop,848,68.37,13.47
B833,Boeing,90.14,618,135,USA,USA,1990,10273,75.77,4,Turboprop,821,33.63,10.64
B721,Boeing,437.8,707,1814,USA,USA,1952,14445,35.86,2,Turbofan,939,30.4,16.19
MJ997,Mitsubishi,377.83,115,624,Japan,Japan,1986,4253,45.64,4,Turboprop,908,64.85,16.71
A411,Airbus,492.88,255,279,France,France,2019,11155,41.78,2,Turbojet,832,66.54,23.18
A650,Airbus,269.64,309,985,France,France,2004,12501,44.26,2,Turboprop,930,42.1,10.36
EM313,Embraer,235.3,435,1428,Brazil,Brazil,2013,7061,31.1,2,Turbofan,975,45.03,23.3
EM651,Embraer,95.45,415,1203,Brazil,Brazil,2004,6297,40.1,2,Turboprop,898,33.68,10.99
A297,Airbus,214.02,338,687,France,France,2007,8269,31.15,4,Turbojet,840,33.83,16.59
EM238,Embraer,292.21,534,320,Brazil,Brazil,2004,9826,60.4,2,Turboprop,908,63.58,20.34
MJ484,Mitsubishi,473.88,819,756,Japan,Japan,1956,9563,36.73,4,Turbofan,861,53.15,6.33
EM453,Embraer,140.32,190,1698,Brazil,Brazil,2004,7040,65.88,4,Turboprop,969,39.7,15.67
TU839,Tupolev,72.84,637,1109,Russia,Russia,1961,10482,35.48,2,Turboprop,907,74.76,15.58
TU727,Tupolev,499.88,367,1785,Russia,Russia,2011,8352,68.13,4,Turbojet,871,28.51,7.86
BD937,Bombardier,457.99,573,709,Canada,Canada,1954,4207,29.49,4,Turbojet,983,55.79,16.6
TU505,Tupolev,117.35,93,1744,Russia,Russia,1995,2871,44.44,2,Turbojet,937,52.06,6.15
A611,Airbus,73.42,731,375,France,France,1974,11223,41.32,2,Turboprop,896,27.49,11.8
BD240,Bombardier,147.07,256,1088,Canada,Canada,2018,12752,28.85,2,Turboprop,809,28.46,12.31
EM240,Embraer,165.95,624,1213,Brazil,Brazil,1959,9216,63.36,4,Turboprop,860,37.18,8.7
C823,Comac,106.26,748,1146,China,China,1990,4444,41.76,4,Turboprop,874,41.92,21.78
B388,Boeing,298.73,830,647,USA,USA,2016,10695,33.84,2,Turbojet,874,52.49,22.43
A104,Airbus,283.8,85,1053,France,France,1988,11019,38.98,2,Turbojet,816,34.32,19.35
C175,Comac,281.07,251,717,China,China,1982,7708,67.24,2,Turboprop,818,58.44,10.47
C636,Comac,199.94,142,591,China,China,1997,10829,71.84,2,Turbojet,896,29.99,6.48
TU791,Tupolev,257.51,641,1441,Russia,Russia,2006,9858,25.82,4,Turbofan,903,35.5,13.69
MJ533,Mitsubishi,98.13,819,1105,Japan,Japan,2018,6182,30.15,2,Turbofan,929,44.05,19.16
EM507,Embraer,52.33,125,73,Brazil,Brazil,1967,2583,24.04,2,Turbofan,825,42.22,11.31
BD855,Bombardier,103.95,787,1318,Canada,Canada,1977,8679,75.06,2,Turbojet,988,27.94,18.44
EM740,Embraer,385.26,667,99,Brazil,Brazil,1955,10866,46.68,2,Turboprop,891,71.74,9.54
MJ972,Mitsubishi,88.92,302,1891,Japan,Japan,1987,4216,42.67,4,Turbojet,927,60.52,15.28
B965,Boeing,478.69,724,629,USA,USA,1959,3250,25.18,2,Turbofan,828,28.83,14.3
MJ178,Mitsubishi,87.0,658,246,Japan,Japan,1996,13064,68.45,2,Turboprop,861,43.76,9.84
BD331,Bombardier,389.1,555,1204,Canada,Canada,1970,2185,41.04,4,Turbofan,905,55.75,23.91
TU438,Tupolev,403.07,463,841,Russia,Russia,1960,2225,45.53,2,Turboprop,964,68.31,7.54
MJ846,Mitsubishi,352.81,532,1799,Japan,Japan,2000,13434,48.6,2,Turboprop,844,59.56,20.87
BD352,Bombardier,497.12,50,1882,Canada,Canada,1959,3090,78.64,4,Turboprop,888,59.14,17.94
B127,Boeing,368.8,69,432,USA,USA,2018,3669,79.95,2,Turbofan,942,47.62,11.37
BD356,Bombardier,450.76,175,1982,Canada,Canada,2019,14510,50.32,4,Turbojet,977,73.59,17.65
MJ707,Mitsubishi,392.14,659,774,Japan,Japan,1975,1622,63.33,4,Turboprop,846,60.77,13.11
BD561,Bombardier,400.11,285,1021,Canada,Canada,1963,10291,29.21,4,Turbojet,997,37.21,8.01
C128,Comac,252.22,384,1276,China,China,1958,3199,60.63,4,Turboprop,992,29.27,9.01
C281,Comac,405.52,555,281,China,China,1959,4090,20.93,2,Turbofan,863,53.51,18.3
TU866,Tupolev,156.78,260,174,Russia,Russia,1966,14527,33.95,4,Turboprop,933,60.24,16.85
C316,Comac,206.26,339,618,China,China,1967,11632,42.09,2,Turbojet,931,42.77,22.89
C498,Comac,448.98,711,271,China,China,1981,4982,36.78,4,Turbofan,968,55.47,9.34
A448,Airbus,470.54,120,1042,France,France,1961,2479,73.94,4,Turboprop,989,57.67,8.22
MJ760,Mitsubishi,108.16,432,197,Japan,Japan,1977,12144,71.71,4,Turboprop,854,26.62,23.24
C663,Comac,485.74,149,193,China,China,1954,2897,21.9,4,Turbojet,865,71.2,10.83
EM356,Embraer,180.41,583,583,Brazil,Brazil,1956,2774,75.9,2,Turbofan,993,34.55,17.58
BD594,Bombardier,348.66,594,108,Canada,Canada,1980,3079,58.59,2,Turbojet,840,44.82,22.93
A474,Airbus,83.54,290,860,France,France,1962,4570,33.73,4,Turboprop,942,51.77,13.21
C431,Comac,493.17,728,1286,China,China,1967,11199,36.51,2,Turbojet,821,69.71,10.68
MJ929,Mitsubishi,173.6,360,1852,Japan,Japan,1957,14417,37.23,4,Turboprop,854,58.13,18.52
MJ967,Mitsubishi,123.6,354,485,Japan,Japan,1993,8653,22.82,2,Turboprop,820,56.38,16.87
C340,Comac,464.34,630,2000,China,China,2012,3416,69.27,4,Turbojet,836,65.21,7.04
C938,Comac,86.09,481,382,China,China,1978,2445,55.14,4,Turboprop,859,63.44,19.91
A913,Airbus,349.11,707,305,France,France,1973,10324,66.52,2,Turboprop,993,45.28,23.58
EM890,Embraer,282.07,253,1374,Brazil,Brazil,2017,9111,38.59,2,Turbojet,865,27.07,10.73
TU902,Tupolev,242.82,169,1454,Russia,Russia,2014,9669,34.31,4,Turboprop,814,58.89,21.36
B897,Boeing,253.9,383,112,USA,USA,1983,3476,71.74,4,Turbojet,904,27.76,18.3
B596,Boeing,181.28,246,225,USA,USA,1975,8170,45.95,4,Turbofan,914,26.26,20.22
TU914,Tupolev,231.52,609,1608,Russia,Russia,1983,11052,66.45,4,Turbofan,932,50.58,14.11
MJ727,Mitsubishi,84.79,525,1527,Japan,Japan,1973,5048,39.84,4,Turboprop,930,51.16,16.83
MJ883,Mitsubishi,307.89,405,1748,Japan,Japan,1999,3660,60.66,4,Turbofan,960,25.26,20.63
B818,Boeing,58.75,676,1449,USA,USA,1957,12608,36.37,2,Turbofan,930,59.84,9.53
B334,Boeing,133.09,776,1860,USA,USA,1980,12354,43.85,4,Turbojet,808,61.31,8.65
B656,Boeing,485.42,769,1205,USA,USA,2007,9165,56.14,4,Turbojet,921,56.84,22.85
MJ685,Mitsubishi,119.06,811,1367,Japan,Japan,1959,12753,31.54,2,Turbojet,855,74.3,16.53
BD752,Bombardier,355.19,580,1864,Canada,Canada,1985,13617,74.36,2,Turbofan,948,61.88,7.15
C211,Comac,201.26,372,1987,China,China,1996,3420,32.38,4,Turbojet,889,28.99,12.89
BD935,Bombardier,366.14,97,492,Canada,Canada,1970,8875,66.01,2,Turbofan,910,52.1,18.9
B155,Boeing,427.87,401,817,USA,USA,1956,9900,47.32,2,Turboprop,995,55.59,8.0
B599,Boeing,253.45,308,1451,USA,USA,1997,8593,60.03,4,Turbofan,984,37.93,22.85
TU456,Tupolev,94.86,383,71,Russia,Russia,2000,7093,21.18,4,Turboprop,905,49.94,22.65
B510,Boeing,295.22,691,2000,USA,USA,1999,11411,50.62,2,Turboprop,810,73.95,23.24
A418,Airbus,59.88,680,423,France,France,1997,2697,30.81,2,Turbojet,940,39.64,21.84
BD700,Bombardier,76.71,305,475,Canada,Canada,1954,5351,25.22,4,Turbojet,970,73.6,9.78
TU744,Tupolev,201.0,325,729,Russia,Russia,2014,14266,41.87,4,Turbofan,978,29.95,12.83
MJ716,Mitsubishi,271.6,620,529,Japan,Japan,2000,3582,58.17,4,Turbojet,846,44.35,14.96
EM579,Embraer,362.19,423,943,Brazil,Brazil,1966,12484,41.46,4,Turboprop,971,32.0,14.51
TU452,Tupolev,288.97,710,670,Russia,Russia,1952,11070,21.88,2,Turboprop,855,44.4,22.68
BD878,Bombardier,112.44,55,650,Canada,Canada,1961,2962,70.71,4,Turbofan,984,25.92,11.06
A270,Airbus,434.98,172,1212,France,France,2011,6488,32.7,4,Turboprop,853,58.28,14.11
A507,Airbus,164.04,312,1230,France,France,1973,8112,39.42,2,Turbofan,820,42.85,19.71
TU357,Tupolev,212.51,294,1974,Russia,Russia,1956,3661,25.78,4,Turbojet,991,48.97,17.76
A880,Airbus,160.45,390,1231,France,France,1986,6113,75.52,4,Turbofan,935,66.68,11.13
MJ979,Mitsubishi,185.57,530,1321,Japan,Japan,1992,2948,36.79,4,Turboprop,848,56.06,14.86
B500,Boeing,165.16,69,424,USA,USA,1952,14852,37.54,4,Turbojet,800,61.38,23.55
C804,Comac,201.34,673,273,China,China,2003,1708,54.23,4,Turbojet,889,47.04,13.89
B370,Boeing,304.73,414,1990,USA,USA,1995,14008,25.06,4,Turbofan,873,72.11,22.41
B453,Boeing,229.5,550,1076,USA,USA,1982,11864,55.04,2,Turbojet,989,45.04,9.82
MJ131,Mitsubishi,400.31,786,452,Japan,Japan,2016,4127,51.6,4,Turboprop,962,56.53,11.33
C310,Comac,348.01,449,925,China,China,1997,3448,63.68,4,Turboprop,931,59.08,16.11
MJ322,Mitsubishi,168.13,636,1059,Japan,Japan,2019,3478,79.36,4,Turboprop,994,58.5,8.34
TU145,Tupolev,407.95,341,13,Russia,Russia,2000,10827,40.87,4,Turbofan,894,52.44,22.56
